Timestamp,Artifact,Type
1457577447,A5,Patch Update
1510285061,A5,Patch Update
1464880131,A5,Patch Update
1580429349,A5,Patch Update
1571798195,A5,Patch Update
1475008423,A5,Patch Update
1591683125,A5,Patch Update
1578614557,A5,Patch Update
1584673511,A5,Patch Update
1572339234,A5,Patch Update
1611845003,A5,Patch Update
1587532867,A5,Patch Update
1578527549,A5,Patch Update
1611584146,A5,Patch Update
1581418259,A5,Patch Update
1595281932,A5,Patch Update
1596740614,A5,Patch Update
1631564533,A5,Patch Update
1616776755,A5,Patch Update
1610188454,A5,Patch Update
1639646934,A5,Patch Update
1625521312,A5,Patch Update
1602801091,A5,Patch Update
1616523039,A5,Patch Update
1610100968,A5,Patch Update
1603344909,A5,Patch Update
1635547257,A5,Patch Update
1665744409,A5,Patch Update
1639104855,A5,Patch Update
1611845788,A5,Patch Update
1618238162,A5,Patch Update
1632417636,A5,Patch Update
1616764366,A5,Patch Update
1622077646,A5,Patch Update
1611587139,A5,Patch Update
1627011598,A5,Patch Update
1626245166,A5,Patch Update
1612398727,A5,Patch Update
1626328046,A5,Patch Update
1633802411,A5,Patch Update
1639468905,A5,Patch Update
1636435143,A5,Patch Update
1635565190,A5,Patch Update
1633202637,A5,Patch Update
1646913251,A5,Patch Update
1644443870,A5,Patch Update
1668743294,A5,Patch Update
1684453090,A5,Patch Update
1685038557,A5,Patch Update
1690768411,A5,Patch Update
1545088616,A5,Patch Update
1539800660,A5,Patch Update
1524635297,A5,Patch Update
1524857830,A5,Patch Update
1522344324,A5,Patch Update
1514230974,A5,Patch Update
1550272396,A5,Patch Update
1512587949,A5,Patch Update
1524256060,A5,Patch Update
1523000656,A5,Patch Update
1605069677,A5,Patch Update
1596739493,A5,Patch Update
1603344271,A5,Patch Update
1595280099,A5,Patch Update
1581389138,A5,Patch Update
1593029386,A5,Patch Update
1581374483,A5,Patch Update
1578524359,A5,Patch Update
1578613130,A5,Patch Update
1591415713,A5,Patch Update
1569299298,A5,Patch Update
1572547067,A5,Patch Update
1568668263,A5,Patch Update
1560193463,A5,Patch Update
1559265943,A5,Patch Update
1551550591,A5,Patch Update
1553542787,A5,Patch Update
1555720755,A5,Patch Update
1568322767,A5,Patch Update
1565068066,A5,Patch Update
1670363263,A5,Patch Update
1635519198,A5,Patch Update
1628637098,A5,Patch Update
1718105357,A1,Minor Update
1723617200,A1,Minor Update
1709808946,A1,Minor Update
1697441826,A1,Minor Update
1702903090,A1,Minor Update
1702377727,A1,Minor Update
1702976828,A1,Minor Update
1549372232,A1,Minor Update
1615194077,A1,Minor Update
1683108668,A1,Minor Update
1606740399,A1,Minor Update
1616421844,A1,Minor Update
1620729384,A1,Minor Update
1638962175,A1,Minor Update
1631608439,A1,Minor Update
1667372705,A1,Minor Update
1678201761,A1,Minor Update
1686121992,A1,Minor Update
1646145168,A1,Minor Update
1654605917,A1,Minor Update
1662361328,A1,Minor Update
1670852981,A1,Minor Update
1598446102,A1,Minor Update
1622559933,A1,Minor Update
1560926286,A1,Minor Update
1601892596,A1,Minor Update
1574328649,A1,Minor Update
1593688759,A1,Minor Update
1630926086,A1,Minor Update
1590485764,A1,Minor Update
1582643587,A1,Minor Update
1686730984,A1,Minor Update
1638258649,A1,Minor Update
1718003907,A2,Minor Update
1709544716,A2,Minor Update
1700751164,A2,Minor Update
